param_code,param_name,param_short,param_alt_name,cas,units,code_is_valid,round_truncate
61111,Std Dev Hz Wind Speed,SDHS,NA,NA,Knots,TRUE,R
61107,Std Dev Vt Wind Direction,SDVD,NA,NA,Degrees Compass,TRUE,R
61110,Std Dev Vt Wind Speed,SDVS,NA,NA,Knots,TRUE,R
72201,Steel corrosion,STCR,NA,NA,Microns/year,TRUE,R
65306,Strong Acids (precip),PSACD,NA,NA,Milligrams/liter,TRUE,R
12168,Strontium (TSP) STP,SR-PT,NA,7440-24-6,Micrograms/cubic meter (25 C),TRUE,R
11355,Strontium - 88 (TSP),NA,NA,14119-10-9,Micrograms/cubic meter (25 C),TRUE,R
85168,Strontium PM10 LC,NA,NA,7440-24-6,Nanograms/cubic meter (LC),TRUE,R
82168,Strontium PM10 STP,SRPM1,NA,7440-24-6,Nanograms/cubic meter (25 C),TRUE,R
86168,Strontium PM10-2.5 LC,NA,NA,7440-24-6,Micrograms/cubic meter (LC),TRUE,R
83168,Strontium PM10-2.5 STP,SRPMC,NA,7440-24-6,Micrograms/cubic meter (25 C),TRUE,R
88168,Strontium PM2.5 LC,NA,NA,7440-24-6,Micrograms/cubic meter (LC),TRUE,R
84168,Strontium PM2.5 STP,SRFMC,NA,7440-24-6,Micrograms/cubic meter (25 C),TRUE,R
14168,Strontium(TSP) LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
45220,Styrene,STYR,"Benzene,ethenyl-",100-42-5,Parts per billion Carbon,TRUE,R
45110,Styrene and o-xylene,NA,NA,NA,Parts per billion Carbon,TRUE,R
65322,Sulfate (precip),PSO4-,NA,14808-79-8,Milligrams/liter,TRUE,R
22403,Sulfate (SP),SO4-S,NA,14808-79-8,Grams/sq meter/month,TRUE,R
14403,Sulfate (TSP) LC,NA,NA,14808-79-8,Micrograms/cubic meter (LC),TRUE,R
12403,Sulfate (TSP) STP,SO4,NA,14808-79-8,Micrograms/cubic meter (25 C),TRUE,R
85403,Sulfate PM10 LC,NA,NA,14808-79-8,Micrograms/cubic meter (LC),TRUE,R
82403,Sulfate PM10 STP,SO4PM,NA,14808-79-8,Micrograms/cubic meter (25 C),TRUE,R
86403,Sulfate PM10-2.5 LC,NA,NA,14808-79-8,Micrograms/cubic meter (LC),TRUE,R
88403,Sulfate PM2.5 LC,NA,NA,14808-79-8,Micrograms/cubic meter (LC),TRUE,R
84403,Sulfate PM2.5 STP,SOFMC,NA,NA,Micrograms/cubic meter (25 C),TRUE,NA
82453,Sulfate PM2.5 STP,PFS04,NA,NA,Micrograms/cubic meter (25 C),TRUE,R
42410,Sulfation rate,SRAT,NA,NA,Mg S03/100 sq cm/day,TRUE,R
12169,Sulfur (TSP) STP,S-PT,NA,7704-34-9,Micrograms/cubic meter (25 C),TRUE,R
42401,Sulfur dioxide,SO2,NA,7446-09-5,Parts per billion,TRUE,T
85169,Sulfur PM10 LC,NA,NA,7704-34-9,Micrograms/cubic meter (LC),TRUE,R
82169,Sulfur PM10 STP,NA,NA,7704-34-9,Micrograms/cubic meter (25 C),TRUE,R
86169,Sulfur PM10-2.5 LC,NA,NA,7704-34-9,Micrograms/cubic meter (LC),TRUE,R
83169,Sulfur PM10-2.5 STP,SPMC,NA,7704-34-9,Micrograms/cubic meter (25 C),TRUE,R
88169,Sulfur PM2.5 LC,NA,NA,7704-34-9,Micrograms/cubic meter (LC),TRUE,R
84169,Sulfur PM2.5 STP,SFMC,NA,7704-34-9,Micrograms/cubic meter (25 C),TRUE,R
42306,Sulfuric acid,HSO4,NA,7664-93-9,Micrograms/cubic meter (25 C),TRUE,R
12402,Sulfuric acid (TSP) STP,HSO4P,NA,7664-93-9,pH Units,TRUE,R
43000,Sum of PAMS target compounds,PAMHC,NA,NA,Parts per billion Carbon,TRUE,R
85100,Survey Data PM10 LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
11101,Suspended particulate (TSP),PT,NA,NA,Micrograms/cubic meter (25 C),TRUE,R
11102,Suspended particulate (TSP) LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,R
12170,Tantalum (TSP) STP,NA,NA,7440-25-7,Micrograms/cubic meter (25 C),TRUE,R
88170,Tantalum PM2.5 LC,NA,NA,7440-25-7,Micrograms/cubic meter (LC),TRUE,R
12171,Tellurium and compounds as Te (TSP) STP,TE-PT,Tellurium,13494-80-9,Micrograms/cubic meter (25 C),TRUE,R
62104,Temperature 24-Hr Max,TMAX,NA,NA,Degrees Fahrenheit,TRUE,R
62105,Temperature 24-Hr Min,TMIN,NA,NA,Degrees Fahrenheit,TRUE,R
62106,Temperature Difference,TEDF,NA,NA,"Temp Difference, Centigrade",TRUE,R
12172,Terbium (TSP) STP,NA,NA,7440-27-9,Micrograms/cubic meter (25 C),TRUE,R
88172,Terbium PM2.5 LC,NA,NA,7440-27-9,Micrograms/cubic meter (LC),TRUE,R
43373,Tert-amyl methyl ether,TAME,"Butane,2-methoxy-2-methyl-",994-05-8,Parts per billion Carbon,TRUE,R
43309,tert-butyl alcohol,NA,"2-Methyl-2-propanol, tert-butanol, trimethyl carbinol",75-65-0,Parts per billion Carbon,TRUE,NA
43396,tert-Butyl ethyl ether,ETBE,NA,637-92-3,Parts per billion Carbon,TRUE,R
17802,Tetrachlorobenzene (TSP) STP,CLB2,NA,12408-10-5,Nanograms/cubic meter (25 C),TRUE,R
17812,Tetrachlorobiphenyl (TSP) STP,NA,NA,26914-33-0,Pg/cubic meter(25 C),TRUE,R
43817,Tetrachloroethylene,PERC,"Ethene, tetrachloro-",127-18-4,Parts per billion Carbon,TRUE,R
17807,Tetrachlorophenol (TSP) STP,CLP7,NA,25167-83-3,Nanograms/cubic meter (25 C),TRUE,R
43523,Tetradecanal,NA,Myristaldehyde,124-25-4,Parts per billion Carbon,TRUE,R
65173,Thallium (precip),TH PC,NA,7440-28-0,Milligrams/liter,TRUE,R
14173,Thallium (TSP) LC,NA,NA,7440-28-0,Micrograms/cubic meter (LC),TRUE,R
12173,Thallium (TSP) STP,TL-PT,NA,7440-28-0,Micrograms/cubic meter (25 C),TRUE,R
85173,Thallium PM10 LC,NA,NA,7440-28-0,Nanograms/cubic meter (LC),TRUE,R
82173,Thallium PM10 STP,TH-PM,NA,7440-28-0,Nanograms/cubic meter (25 C),TRUE,R
88173,Thallium PM2.5 LC,NA,NA,7440-28-0,Micrograms/cubic meter (LC),TRUE,R
14174,Thorium (TSP) LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
12174,Thorium (TSP) STP,NA,NA,NA,Micrograms/cubic meter (25 C),FALSE,NA
85174,Thorium PM10 LC,NA,NA,7440-29-1,Nanograms/cubic meter (LC),TRUE,R
88174,Thorium PM2.5 LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
12138,Thorium-230 (TSP) STP,NA,NA,14269-63-7,Picocuries/cubic meter,TRUE,R
12139,Thorium-232 (TSP) STP,NA,NA,7440-29-1,Picocuries/cubic meter,TRUE,R
14160,Tin (TSP) LC,NA,NA,7440-31-5,Micrograms/cubic meter (LC),TRUE,R
12160,Tin (TSP) STP,SN-PT,NA,7440-31-5,Micrograms/cubic meter (25 C),TRUE,R
11356,Tin - 117 (TSP),NA,NA,13981-59-4,Micrograms/cubic meter (25 C),TRUE,R
11361,Tin - 120 (TSP),NA,NA,14119-17-6,Micrograms/cubic meter (25 C),TRUE,R
85160,Tin PM10 LC,NA,NA,7440-31-5,Nanograms/cubic meter (LC),TRUE,R
82160,Tin PM10 STP,SNPM1,NA,7440-31-5,Nanograms/cubic meter (25 C),TRUE,R
86160,Tin PM10-2.5 LC,NA,NA,7440-31-5,Micrograms/cubic meter (LC),TRUE,R
83160,Tin PM10-2.5 STP,SNPMC,NA,7440-31-5,Micrograms/cubic meter (25 C),TRUE,R
88160,Tin PM2.5 LC,NA,NA,7440-31-5,Micrograms/cubic meter (LC),TRUE,R
84160,Tin PM2.5 STP,SNFMC,NA,7440-31-5,Micrograms/cubic meter (25 C),TRUE,R
14161,Titanium (TSP) LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
12161,Titanium (TSP) STP,TI-PT,NA,7440-32-6,Micrograms/cubic meter (25 C),TRUE,R
85161,Titanium PM10 LC,NA,NA,7440-32-6,Nanograms/cubic meter (LC),TRUE,R
82161,Titanium PM10 STP,NA,NA,7440-32-6,Nanograms/cubic meter (25 C),TRUE,R
86161,Titanium PM10-2.5 LC,NA,NA,7440-32-6,Micrograms/cubic meter (LC),TRUE,R
83161,Titanium PM10-2.5 STP,TIPMC,NA,7440-32-6,Micrograms/cubic meter (25 C),TRUE,R
88161,Titanium PM2.5 LC,NA,NA,7440-32-6,Micrograms/cubic meter (LC),TRUE,R
84161,Titanium PM2.5 STP,TIFMC,NA,7440-32-6,Micrograms/cubic meter (25 C),TRUE,R
45504,Tolualdehydes,NA,"Benzaldehyde, methyl-",1334-78-7,Parts per billion Carbon,TRUE,R
45202,Toluene,TOLU,"Benzene, methyl-",108-88-3,Parts per billion Carbon,TRUE,R
81111,TOTAL CARBON (PM10) use 82116,cpm101,NA,NA,Micrograms/cubic meter (25 C),FALSE,R
82116,Total Carbon PM10 STP,CPM10,NA,7440-44-0,Micrograms/cubic meter (25 C),TRUE,R
88312,Total Carbon PM2.5 LC TOT,NA,NA,7440-44-0,Micrograms/cubic meter (LC),TRUE,R
84312,Total Carbon PM2.5 STP TOT,NA,NA,NA,Micrograms/cubic meter (20 C),TRUE,NA
43800,Total chlorinated hydrocarbons,NA,NA,NA,Parts per billion Carbon,TRUE,R
21101,Total dustfall (SP),DUST,NA,NA,Grams/sq meter/month,TRUE,R
17823,Total heptachlorodibenzo-p-dioxin (TSP) STP,DIOX5,NA,37871-00-4,Pg/cubic meter(25 C),TRUE,R
17829,Total heptachlorodibenzofuran (TSP) STP,FURN5,NA,38998-75-3,Pg/cubic meter(25 C),TRUE,R
17822,Total hexachlorodibenzo-p-dioxin (TSP) STP,DIOX4,NA,34465-46-8,Pg/cubic meter(25 C),TRUE,R
17828,Total hexachlorodibenzofuran (TSP) STP,FURN4,NA,55684-94-1,Pg/cubic meter(25 C),TRUE,R
43101,Total hydrocarbons,THC,NA,NA,Parts per billion Carbon,TRUE,R
85306,Total Nitrate PM10 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
86306,Total Nitrate PM10-2.5 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
88306,Total Nitrate PM2.5 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
43102,Total NMOC (non-methane organic compound),TNMOC,NA,NA,Parts per billion Carbon,TRUE,R
11125,Total non-asbestos fibers,NA,NA,NA,Structures/Cu Cm,TRUE,R
17824,Total octachlorodibenzo-p-dioxin (TSP) STP,DIOX6,NA,3268-87-9,Pg/cubic meter(25 C),TRUE,R
17830,Total octachlorodibenzofuran (TSP) STP,FURN6,NA,39001-02-0,Pg/cubic meter(25 C),TRUE,R
44101,Total Oxidants,NA,NA,NA,Parts per million,TRUE,R
17821,Total pentachlorodibenzo-p-dioxin (TSP) STP,DIOX3,NA,36088-22-9,Pg/cubic meter(25 C),TRUE,R
